Station,Year,Month,Maximum Temperature (Deg.Cel),Minimum Temperature (Deg.Cel),Total Rainfall (mm),Humidity (percent),Wind Speed (m/s),Cloud Coverage (Octs),Sunshine (Hours)
Srimongal (10724),2019,2,28.31,12.58,42.0,75.93,3.94,2.21,7.11
Srimongal (10724),2019,3,30.96,17.23,34.0,74.39,2.98,3.23,7.59
Srimongal (10724),2019,4,32.97,21.01,131.0,77.23,2.62,3.6,7.77
Srimongal (10724),2019,5,33.67,23.81,439.0,79.61,2.68,4.71,6.73
Srimongal (10724),2019,6,33.39,25.62,465.0,84.27,2.04,6.17,4.48
Srimongal (10724),2019,7,32.67,25.75,485.0,84.84,2.45,6.87,4.04
Srimongal (10724),2019,8,34.04,25.95,177.0,83.48,2.03,5.74,5.76
Srimongal (10724),2019,9,33.37,25.18,205.0,84.6,2.03,6.07,5.98
Srimongal (10724),2019,10,31.56,22.9,205.0,86.84,1.74,4.48,5.82
Srimongal (10724),2019,11,29.82,17.86,28.0,85.53,1.75,2.1,7.23
Srimongal (10724),2019,12,25.51,12.06,3.0,84.52,2.16,2.71,6.18
Srimongal (10724),2020,1,23.61,11.11,20.0,85.77,,2.74,4.54
Srimongal (10724),2020,2,27.52,11.61,0.0,75.72,,2.0,6.46
Srimongal (10724),2020,3,31.9,16.09,4.0,69.26,,2.19,8.26
Srimongal (10724),2020,4,32.81,20.01,274.0,75.07,,4.1,6.57
Srimongal (10724),2020,5,32.41,23.35,333.0,80.87,,5.45,5.3
Srimongal (10724),2020,6,32.82,25.49,504.0,85.43,,6.7,3.1
Srimongal (10724),2020,7,33.04,25.79,383.0,86.13,,6.74,3.63
Srimongal (10724),2020,8,33.94,26.05,219.0,83.65,,6.26,4.78
Srimongal (10724),2020,9,33.07,25.71,344.0,87.6,,5.93,4.32
Srimongal (10724),2020,10,33.27,24.68,196.0,86.55,,4.39,6.31
Srimongal (10724),2020,11,30.7,16.98,9.0,84.1,,2.1,7.72
Srimongal (10724),2020,12,26.33,11.87,0.0,85.52,,1.35,6.61
Srimongal (10724),2021,1,25.81,10.6,3.0,84.26,,0.74,6.03
Srimongal (10724),2021,2,29.38,11.19,0.0,75.18,,0.93,7.37
Srimongal (10724),2021,3,33.47,18.08,109.0,70.39,,2.29,7.94
Srimongal (10724),2021,4,35.1,21.52,39.0,71.37,,2.03,8.67
Srimongal (10724),2021,5,34.4,23.93,236.0,77.77,,5.16,6.56
Srimongal (10724),2021,6,32.91,25.43,172.0,83.2,,6.4,4.21
Srimongal (10724),2021,7,32.91,25.8,295.0,84.35,,6.74,3.61
Srimongal (10724),2021,8,32.9,25.49,428.0,86.35,,6.77,3.65
Srimongal (10724),2021,9,34.33,25.39,189.0,83.93,,5.67,6.37
Srimongal (10724),2021,10,33.46,23.95,166.0,84.94,,3.77,7.17
Srimongal (10724),2021,11,30.22,16.04,2.0,82.3,,1.6,7.9
Srimongal (10724),2021,12,26.98,13.12,66.0,84.42,,2.42,6.33
Srimongal (10724),2022,1,25.35,11.8,21.0,84.71,,2.35,5.58
Srimongal (10724),2022,2,26.9,11.25,27.0,76.04,,1.82,7.65
Srimongal (10724),2022,3,33.25,17.0,30.0,72.29,,1.45,7.89
Srimongal (10724),2022,4,33.99,22.73,102.0,76.5,,3.67,6.97
Srimongal (10724),2022,5,32.38,23.43,613.0,84.71,,5.0,4.97
Srimongal (10724),2022,6,31.98,24.85,553.0,88.1,,6.2,2.01
Srimongal (10724),2022,7,34.08,25.9,257.0,84.0,,5.87,6.09
Srimongal (10724),2022,8,34.0,25.55,411.0,83.87,,5.48,6.0
Srimongal (10724),2022,9,33.62,25.3,304.0,86.33,,5.63,5.61
Srimongal (10724),2022,10,32.2,22.7,446.0,86.19,,3.52,6.61
Srimongal (10724),2022,11,31.67,17.3,0.0,81.17,,1.5,8.25
Srimongal (10724),2022,12,28.01,13.37,1.0,83.52,,0.81,6.62
Syedpur (41858),2012,1,22.65,10.75,6.0,78.84,2.23,2.1,4.52
Syedpur (41858),2012,2,27.03,13.05,6.0,68.79,3.02,0.41,7.34
Syedpur (41858),2012,3,31.31,16.98,3.0,61.9,2.08,0.52,7.43
Syedpur (41858),2012,4,32.65,21.22,91.0,70.8,2.3,2.83,7.12
Syedpur (41858),2012,5,34.07,23.83,148.0,75.71,2.02,3.55,5.57
Syedpur (41858),2012,6,32.49,25.63,328.0,83.97,2.33,5.93,2.41
Syedpur (41858),2012,7,32.27,26.55,456.0,85.0,1.86,6.0,4.22
Syedpur (41858),2012,8,33.55,26.95,97.0,80.84,2.11,4.84,6.4
Syedpur (41858),2012,9,32.48,25.79,628.0,85.03,1.98,5.23,5.13
Syedpur (41858),2012,10,31.96,21.72,27.0,79.52,2.13,2.35,7.58
Syedpur (41858),2012,11,29.15,15.44,0.0,75.07,1.7,1.3,6.93
Syedpur (41858),2012,12,22.66,12.26,0.0,86.35,1.18,2.68,2.22
Syedpur (41858),2013,1,22.96,8.7,0.0,78.32,1.4,1.16,4.89
Syedpur (41858),2013,2,28.2,14.26,14.0,69.21,1.88,1.64,7.16
Syedpur (41858),2013,3,32.12,18.02,3.0,64.65,2.12,0.61,8.6
Syedpur (41858),2013,4,32.71,20.94,58.0,70.43,2.1,2.87,6.28
Syedpur (41858),2013,5,31.73,23.78,206.0,82.58,2.16,5.52,4.37
Syedpur (41858),2013,6,33.88,26.4,310.0,82.03,2.05,4.97,5.41
Syedpur (41858),2013,7,33.17,26.79,245.0,82.48,2.24,5.45,4.83
Syedpur (41858),2013,8,32.77,26.12,388.0,85.06,2.08,5.81,5.36
Syedpur (41858),2013,9,33.61,25.93,161.0,82.57,2.08,4.4,5.96
Syedpur (41858),2013,10,30.49,22.31,337.0,84.35,1.91,3.81,7.73
Syedpur (41858),2013,11,29.18,15.8,0.0,79.3,1.95,1.07,6.86
Syedpur (41858),2013,12,24.83,12.71,0.0,82.77,1.76,1.55,3.65
Syedpur (41858),2014,1,22.72,11.31,0.0,85.61,2.48,2.0,2.38
Syedpur (41858),2014,2,24.67,12.55,26.0,77.32,2.31,2.11,4.5
Syedpur (41858),2014,3,31.01,17.06,7.0,67.71,2.92,1.26,7.82
Syedpur (41858),2014,4,35.35,21.01,6.0,64.03,2.69,1.4,8.23
Syedpur (41858),2014,5,35.11,23.81,157.0,73.39,2.53,3.52,6.39
Syedpur (41858),2014,6,33.24,25.99,366.0,84.13,2.04,5.7,3.52
Syedpur (41858),2014,7,33.83,26.86,200.0,82.55,2.36,5.68,4.61
Syedpur (41858),2014,8,32.92,26.05,470.0,85.87,1.83,5.77,3.58
Syedpur (41858),2014,9,32.22,25.28,411.0,85.67,1.9,4.83,4.74
Syedpur (41858),2014,10,32.19,22.32,45.0,81.19,1.81,2.0,7.44
Syedpur (41858),2014,11,29.83,16.84,0.0,78.67,1.67,0.4,5.2
Syedpur (41858),2014,12,24.74,12.76,0.0,83.94,2.03,1.97,4.51
Syedpur (41858),2015,1,22.42,11.7,27.0,83.9,2.46,3.32,3.82
Syedpur (41858),2015,2,27.21,14.59,3.0,77.57,2.11,1.5,5.53
Syedpur (41858),2015,3,30.7,17.77,32.0,69.13,3.01,1.9,7.03
Syedpur (41858),2015,4,31.09,20.76,85.0,76.9,2.76,4.23,5.58
Syedpur (41858),2015,5,33.09,23.5,233.0,80.87,2.47,4.61,5.13
Syedpur (41858),2015,6,32.67,25.78,300.0,82.57,2.64,5.6,4.05
Syedpur (41858),2015,7,33.35,26.59,232.0,81.23,2.5,5.19,4.61
Syedpur (41858),2015,8,32.6,26.25,562.0,86.26,2.42,6.19,2.85
Syedpur (41858),2015,9,33.37,25.65,386.0,84.43,1.91,4.4,5.21
Syedpur (41858),2015,10,33.22,22.92,25.0,79.97,2.15,1.68,8.07
Syedpur (41858),2015,11,30.0,17.7,0.0,78.73,2.05,0.73,6.91
Syedpur (41858),2015,12,25.17,12.3,0.0,81.84,1.75,0.97,4.65
Syedpur (41858),2016,1,23.85,10.93,10.0,82.35,2.02,1.19,3.76
Syedpur (41858),2016,2,28.65,14.57,1.0,73.69,2.17,0.59,6.52
Syedpur (41858),2016,3,31.98,18.48,47.0,67.68,2.96,1.61,6.95
Syedpur (41858),2016,4,34.15,22.73,26.0,71.33,2.72,2.97,5.51
Syedpur (41858),2016,5,32.3,22.92,269.0,78.1,2.21,4.42,4.86
Syedpur (41858),2016,6,33.56,25.78,125.0,80.2,1.87,4.9,5.0
Syedpur (41858),2016,7,32.32,26.16,368.0,85.74,2.27,6.19,2.85
Syedpur (41858),2016,8,34.66,26.75,90.0,78.87,2.51,4.23,6.81
Syedpur (41858),2016,9,32.8,25.44,335.0,85.6,2.19,5.2,4.8
Syedpur (41858),2016,10,32.64,22.95,102.0,81.71,1.97,2.39,6.98
Syedpur (41858),2016,11,30.5,16.95,0.0,76.43,1.82,0.9,7.51
Syedpur (41858),2016,12,26.79,13.58,6.0,81.03,1.98,0.65,6.09
Syedpur (41858),2017,1,25.8,11.41,3.0,77.68,2.2,0.87,5.7
Syedpur (41858),2017,2,28.41,13.8,0.0,71.82,2.4,0.75,5.87
Syedpur (41858),2017,3,28.95,16.65,50.0,73.1,2.32,2.94,5.49
Syedpur (41858),2017,4,30.99,21.29,178.0,77.0,2.47,4.63,4.61
Syedpur (41858),2017,5,32.92,23.31,260.0,78.52,2.36,4.68,5.58
Syedpur (41858),2017,6,33.82,25.67,255.0,79.6,2.53,5.23,4.1
Syedpur (41858),2017,7,32.46,26.29,335.0,83.58,2.69,5.48,4.05
Syedpur (41858),2017,8,33.15,26.55,739.0,84.68,2.51,5.19,3.91
Syedpur (41858),2017,9,33.61,26.24,107.0,83.23,2.2,4.67,4.55
Syedpur (41858),2017,10,31.43,23.46,200.0,84.13,2.11,3.19,5.17
Syedpur (41858),2017,11,29.4,16.97,0.0,77.53,2.5,0.97,6.8
Syedpur (41858),2017,12,26.86,14.08,0.0,80.9,2.24,1.1,5.82
Syedpur (41858),2018,1,21.43,9.23,0.0,84.13,2.37,1.13,3.71
Syedpur (41858),2018,2,27.36,14.08,0.0,73.89,2.34,0.75,5.35
Syedpur (41858),2018,3,31.19,18.33,25.0,70.48,2.57,1.13,7.25
Syedpur (41858),2018,4,30.91,21.19,171.0,76.67,2.45,3.5,5.67
Syedpur (41858),2018,5,31.57,22.9,144.0,78.32,2.53,4.52,5.04
Syedpur (41858),2018,6,33.73,25.67,416.0,80.57,2.39,5.43,4.7
Syedpur (41858),2018,7,33.45,26.79,207.0,81.23,2.66,5.42,4.53
Syedpur (41858),2018,8,33.85,26.87,256.0,81.9,2.63,5.23,5.41
Syedpur (41858),2018,9,33.45,25.91,245.0,82.1,2.79,4.27,5.52
Syedpur (41858),2018,10,31.41,21.36,20.0,80.81,2.04,1.94,7.0
Syedpur (41858),2018,11,29.76,16.04,0.0,75.47,2.17,0.37,8.04
Syedpur (41858),2018,12,26.12,11.75,9.0,75.0,2.27,1.13,
Syedpur (41858),2019,1,26.5,10.76,0.0,72.58,4.96,0.74,6.6
Syedpur (41858),2019,2,26.94,14.24,42.0,73.25,5.67,1.71,5.87
Syedpur (41858),2019,3,30.99,16.68,1.0,65.06,5.88,1.13,8.04
Syedpur (41858),2019,4,31.81,21.23,114.0,73.8,5.36,3.37,6.2
Syedpur (41858),2019,5,32.97,23.16,192.0,77.71,5.87,4.9,4.37
Syedpur (41858),2019,6,34.1,25.35,344.0,79.2,5.41,4.53,5.73
Syedpur (41858),2019,7,32.85,26.47,519.0,82.68,6.19,5.81,4.03
Syedpur (41858),2019,8,34.65,26.94,299.0,78.65,5.67,4.68,5.93
Syedpur (41858),2019,9,31.96,25.44,509.0,85.03,5.49,5.8,4.06
Syedpur (41858),2019,10,31.08,22.52,110.0,81.97,5.1,4.0,4.01
Syedpur (41858),2019,11,30.24,18.48,0.0,77.53,5.12,1.3,6.63
Syedpur (41858),2019,12,23.99,11.91,0.0,79.74,4.86,1.9,4.88
Syedpur (41858),2020,1,23.05,11.31,6.0,81.19,,2.19,4.19
Syedpur (41858),2020,2,26.61,12.46,9.0,72.76,,1.21,5.89
Syedpur (41858),2020,3,30.36,17.53,21.0,69.1,,1.81,7.53
Syedpur (41858),2020,4,31.63,19.63,100.0,71.27,,3.3,6.69
Syedpur (41858),2020,5,31.98,22.53,412.0,80.23,,5.1,5.57
Syedpur (41858),2020,6,33.13,25.87,433.0,84.3,,5.93,5.01
Syedpur (41858),2020,7,31.94,26.33,629.0,85.58,,6.87,3.07
Syedpur (41858),2020,8,34.25,26.81,253.0,80.58,,5.77,5.01
Syedpur (41858),2020,9,31.97,25.9,794.0,87.2,,6.53,2.86
Syedpur (41858),2020,10,33.71,24.31,15.0,80.16,,3.16,6.66
Syedpur (41858),2020,11,29.69,16.59,0.0,74.13,,0.93,7.65
Syedpur (41858),2020,12,25.75,12.69,0.0,80.45,,1.03,5.94
Syedpur (41858),2021,1,22.83,11.64,0.0,82.58,,1.61,3.73
Syedpur (41858),2021,2,28.48,13.45,0.0,72.36,,0.46,7.27
Syedpur (41858),2021,3,32.01,17.95,0.0,66.29,,1.39,6.84
Syedpur (41858),2021,4,34.24,21.38,53.0,69.03,,2.03,7.41
Syedpur (41858),2021,5,32.04,23.46,316.0,78.87,,5.39,4.45
Syedpur (41858),2021,6,33.14,26.07,218.0,80.9,,6.03,4.37
Syedpur (41858),2021,7,33.55,26.73,318.0,81.77,,6.19,4.07
Syedpur (41858),2021,8,32.9,26.48,540.0,84.42,,6.58,3.24
Syedpur (41858),2021,9,34.02,25.66,235.0,81.13,,4.57,5.86
Syedpur (41858),2021,10,32.98,23.86,351.0,82.42,,3.16,5.58
Syedpur (41858),2021,11,29.91,16.41,0.0,77.47,,0.67,7.2
Syedpur (41858),2021,12,27.12,13.24,6.0,76.94,,1.13,6.48
Syedpur (41858),2022,1,23.64,11.63,12.0,81.9,,2.23,3.53
Syedpur (41858),2022,2,25.23,12.21,71.0,75.0,,2.07,5.68
Syedpur (41858),2022,3,32.98,19.25,0.0,70.0,,1.1,6.86
Syedpur (41858),2022,4,31.38,22.53,196.0,80.73,,5.67,3.45
Syedpur (41858),2022,5,33.06,23.66,290.0,79.1,,5.06,4.06
Syedpur (41858),2022,6,32.37,25.09,376.0,82.6,,6.67,1.99
Syedpur (41858),2022,7,35.56,27.2,121.0,77.29,,5.16,5.69
Syedpur (41858),2022,8,34.74,26.78,191.0,79.35,,5.26,5.62
Syedpur (41858),2022,9,33.8,25.97,251.0,82.7,,0.63,4.47
Syedpur (41858),2022,10,33.25,22.74,70.0,79.42,,0.13,6.25
Syedpur (41858),2022,11,30.63,16.96,0.0,76.17,,0.7,8.0
Syedpur (41858),2022,12,27.26,13.36,0.0,79.13,,0.65,6.2
Sylhet (10705),2012,1,24.79,13.19,10.0,76.39,1.54,3.19,5.38
Sylhet (10705),2012,2,29.29,14.27,0.0,60.86,1.93,1.03,7.96
Sylhet (10705),2012,3,32.35,20.15,101.0,63.13,1.7,2.74,7.25
Sylhet (10705),2012,4,30.3,20.59,659.0,77.9,1.62,5.57,5.59
Sylhet (10705),2012,5,32.95,23.55,406.0,77.19,1.44,5.61,5.75
Sylhet (10705),2012,6,30.88,24.58,1185.0,88.13,1.83,7.2,2.46
Sylhet (10705),2012,7,33.12,26.03,700.0,84.68,1.88,7.39,4.42
Sylhet (10705),2012,8,32.95,25.71,738.0,84.74,1.76,6.97,4.85
Sylhet (10705),2012,9,32.55,25.69,261.0,84.5,1.69,6.93,4.63
Sylhet (10705),2012,10,31.84,22.75,502.0,81.32,1.19,3.9,6.22
Sylhet (10705),2012,11,29.15,18.9,48.0,77.6,1.31,3.03,6.94
Sylhet (10705),2012,12,24.7,14.5,0.0,82.87,1.25,2.23,5.96
Sylhet (10705),2013,1,25.6,11.64,0.0,74.26,1.71,1.23,6.69
Sylhet (10705),2013,2,31.24,15.91,7.0,62.75,1.74,1.75,8.02
Sylhet (10705),2013,3,34.21,19.72,16.0,60.29,1.88,2.39,7.64
Sylhet (10705),2013,4,32.98,21.86,229.0,69.33,1.92,4.77,6.35
Sylhet (10705),2013,5,30.45,22.69,959.0,83.58,1.67,7.13,4.22
Sylhet (10705),2013,6,34.06,25.79,729.0,81.17,1.45,6.3,4.22
Sylhet (10705),2013,7,33.21,25.77,567.0,83.84,1.48,7.26,3.7
Sylhet (10705),2013,8,32.58,25.6,520.0,85.26,1.64,7.19,3.85
Sylhet (10705),2013,9,32.83,25.29,347.0,83.63,1.67,6.2,4.44
Sylhet (10705),2013,10,31.47,23.1,451.0,81.13,1.24,5.03,5.52
Sylhet (10705),2013,11,30.1,17.35,0.0,74.1,1.21,0.8,9.15
Sylhet (10705),2013,12,26.2,14.57,0.0,75.87,1.11,2.48,5.73
Sylhet (10705),2014,1,27.15,13.09,0.0,75.55,1.35,1.39,7.3
Sylhet (10705),2014,2,27.37,14.11,34.0,73.57,1.73,2.71,6.05
Sylhet (10705),2014,3,32.41,18.06,78.0,62.32,2.09,2.48,8.17
Sylhet (10705),2014,4,34.95,21.91,118.0,63.47,1.57,2.87,8.51
Sylhet (10705),2014,5,32.37,23.26,540.0,79.35,1.75,5.9,6.29
Sylhet (10705),2014,6,32.08,25.49,724.0,86.6,1.55,6.93,2.82
Sylhet (10705),2014,7,34.19,25.95,316.0,81.81,1.61,6.87,4.53
Sylhet (10705),2014,8,32.47,25.53,797.0,86.81,1.65,7.32,3.37
Sylhet (10705),2014,9,32.23,24.94,732.0,85.83,1.4,6.5,4.6
Sylhet (10705),2014,10,33.12,23.09,33.0,77.87,1.19,3.06,7.4
Sylhet (10705),2014,11,31.22,18.93,0.0,74.27,1.1,1.27,8.53
Sylhet (10705),2014,12,27.85,15.23,0.0,77.03,1.33,2.42,6.26
Sylhet (10705),2015,1,27.22,14.76,16.0,75.26,1.66,2.39,6.51
Sylhet (10705),2015,2,28.75,15.05,40.0,68.25,1.31,2.0,7.05
Sylhet (10705),2015,3,33.08,18.74,28.0,62.77,2.3,2.03,7.2
Sylhet (10705),2015,4,30.55,20.91,539.0,78.4,1.59,6.13,4.9
Sylhet (10705),2015,5,31.24,22.68,747.0,82.48,1.51,6.29,4.89
Sylhet (10705),2015,6,32.08,25.11,857.0,86.93,1.63,7.37,2.84
Sylhet (10705),2015,7,32.59,25.89,644.0,83.29,1.53,7.29,3.07
Sylhet (10705),2015,8,31.99,25.52,754.0,88.1,1.44,7.45,2.55
Sylhet (10705),2015,9,32.66,25.26,832.0,86.07,1.33,5.9,4.37
Sylhet (10705),2015,10,32.96,23.41,53.0,77.23,1.27,4.32,6.71
Sylhet (10705),2015,11,30.58,18.99,4.0,73.77,1.08,1.7,7.99
Sylhet (10705),2015,12,26.07,14.73,7.0,76.77,1.24,1.9,5.39
Sylhet (10705),2016,1,24.6,13.43,11.0,77.71,1.31,1.97,3.34
Sylhet (10705),2016,2,29.1,17.62,28.0,71.72,1.51,3.03,5.9
Sylhet (10705),2016,3,32.04,20.48,134.0,68.23,2.06,3.39,5.83
Sylhet (10705),2016,4,31.0,21.63,1004.0,81.07,2.56,6.93,5.23
Sylhet (10705),2016,5,31.25,23.17,703.0,81.52,1.92,6.32,4.74
Sylhet (10705),2016,6,33.15,25.5,657.0,83.4,1.77,6.73,4.52
Sylhet (10705),2016,7,32.59,25.74,531.0,86.97,1.94,7.45,3.01
Sylhet (10705),2016,8,34.32,26.21,396.0,81.58,1.78,6.65,5.36
Sylhet (10705),2016,9,33.29,25.48,561.0,84.27,1.67,6.63,4.45
Sylhet (10705),2016,10,33.18,24.45,158.0,80.94,1.43,4.68,6.43
Sylhet (10705),2016,11,29.59,19.34,108.0,77.9,1.83,2.27,7.76
Sylhet (10705),2016,12,28.62,16.31,5.0,73.42,1.5,1.06,7.33
Sylhet (10705),2017,1,27.75,14.23,0.0,71.48,1.59,0.84,7.67
Sylhet (10705),2017,2,29.65,16.18,137.0,65.0,1.91,1.07,6.85
Sylhet (10705),2017,3,28.06,18.26,344.0,74.39,1.96,4.58,4.9
Sylhet (10705),2017,4,29.75,21.04,874.0,81.43,2.41,5.97,3.8
Sylhet (10705),2017,5,32.83,23.21,629.0,78.26,2.07,5.9,5.29
Sylhet (10705),2017,6,31.36,24.96,1047.0,87.23,2.28,7.13,2.75
Sylhet (10705),2017,7,32.68,25.78,774.0,85.74,1.53,7.26,3.14
Sylhet (10705),2017,8,32.4,25.54,1155.0,88.16,1.85,7.39,3.27
Sylhet (10705),2017,9,32.28,25.64,571.0,87.63,1.58,7.03,3.15
Sylhet (10705),2017,10,32.05,23.55,318.0,83.55,2.04,5.45,5.68
Sylhet (10705),2017,11,30.78,19.45,3.0,77.03,1.43,1.57,7.97
Sylhet (10705),2017,12,27.03,16.6,92.0,78.74,1.47,2.29,6.53
Sylhet (10705),2018,1,24.81,13.48,0.0,81.13,1.6,1.87,4.82
Sylhet (10705),2018,2,28.5,16.32,39.0,71.14,1.69,2.61,5.8
Sylhet (10705),2018,3,31.51,19.59,94.0,67.39,1.75,2.71,6.68
Sylhet (10705),2018,4,30.99,21.1,330.0,75.57,1.7,5.07,5.5
Sylhet (10705),2018,5,30.42,22.59,583.0,83.39,1.76,6.26,4.05
Sylhet (10705),2018,6,32.65,24.96,789.0,84.3,1.78,6.83,3.1
Sylhet (10705),2018,7,33.36,25.95,677.0,85.61,1.6,7.45,3.1
Sylhet (10705),2018,8,33.87,25.7,410.0,83.68,1.45,6.9,4.16
Sylhet (10705),2018,9,32.9,25.44,452.0,85.0,1.79,6.63,3.48
Sylhet (10705),2018,10,31.21,22.27,139.0,81.16,1.56,3.65,6.22
Sylhet (10705),2018,11,29.56,18.3,39.0,77.37,1.67,1.7,7.81
Sylhet (10705),2018,12,27.0,15.21,29.0,76.39,1.68,1.97,
Sylhet (10705),2019,1,27.85,13.8,0.0,69.97,2.87,0.77,7.6
Sylhet (10705),2019,2,28.33,15.7,29.0,69.43,3.14,3.14,6.69
Sylhet (10705),2019,3,31.06,19.06,39.0,66.0,3.37,3.77,6.65
Sylhet (10705),2019,4,32.49,21.37,349.0,72.17,3.9,4.47,6.21
Sylhet (10705),2019,5,32.33,22.95,653.0,80.94,3.29,5.77,5.35
Sylhet (10705),2019,6,32.76,25.45,789.0,85.3,3.55,6.37,3.49
Sylhet (10705),2019,7,32.39,25.71,697.0,86.84,3.57,7.0,3.24
Sylhet (10705),2019,8,34.38,26.37,446.0,82.13,3.49,6.29,5.75
Sylhet (10705),2019,9,33.24,25.55,309.0,84.37,3.12,6.37,4.51
Sylhet (10705),2019,10,31.55,23.37,348.0,83.16,3.36,3.13,5.93
Sylhet (10705),2019,11,30.14,19.82,9.0,79.6,2.82,1.9,7.44
Sylhet (10705),2019,12,26.15,14.93,0.0,76.19,2.92,2.1,6.55
Sylhet (10705),2020,1,24.71,13.68,18.0,78.87,,2.77,5.13
Sylhet (10705),2020,2,28.12,15.14,3.0,67.76,,2.97,6.11
Sylhet (10705),2020,3,31.88,18.75,23.0,63.23,,2.45,7.9
Sylhet (10705),2020,4,32.84,21.17,244.0,67.3,,4.63,6.7
Sylhet (10705),2020,5,31.56,23.03,640.0,81.29,,6.45,4.39
Sylhet (10705),2020,6,32.14,25.3,651.0,88.0,,7.4,3.09
Sylhet (10705),2020,7,31.9,25.78,990.0,88.81,,7.45,2.21
Sylhet (10705),2020,8,33.72,26.45,382.0,85.16,,6.9,3.92
Sylhet (10705),2020,9,31.98,25.68,883.0,87.8,,6.47,3.3
Sylhet (10705),2020,10,32.67,25.14,382.0,84.26,,4.97,5.82
Sylhet (10705),2020,11,30.31,19.51,12.0,74.33,,2.63,7.46
Sylhet (10705),2020,12,26.62,14.89,0.0,78.32,,0.94,7.62
Sylhet (10705),2021,1,26.56,14.19,0.0,76.97,,1.55,5.98
Sylhet (10705),2021,2,29.59,15.23,0.0,65.93,,1.04,7.3
Sylhet (10705),2021,3,33.27,20.51,127.0,60.74,,3.13,7.42
Sylhet (10705),2021,4,33.84,22.14,143.0,67.67,,3.53,7.77
Sylhet (10705),2021,5,33.07,23.78,290.0,77.77,,5.94,4.72
Sylhet (10705),2021,6,32.15,25.34,664.0,87.77,,7.53,2.96
Sylhet (10705),2021,7,32.98,25.84,703.0,86.0,,7.32,3.24
Sylhet (10705),2021,8,31.84,25.39,928.0,89.23,,7.35,2.22
Sylhet (10705),2021,9,34.56,25.96,200.0,79.5,,5.93,6.25
Sylhet (10705),2021,10,33.54,24.56,240.0,80.74,,4.13,6.27
Sylhet (10705),2021,11,30.41,18.49,0.0,74.13,,1.5,8.05
Sylhet (10705),2021,12,27.33,15.91,14.0,76.48,,2.23,6.29
Sylhet (10705),2022,1,25.9,14.45,16.0,74.74,,3.03,6.0
Sylhet (10705),2022,2,26.68,13.97,24.0,68.96,,3.21,6.35
Sylhet (10705),2022,3,33.54,20.17,79.0,66.06,,1.94,7.26
Sylhet (10705),2022,4,32.06,22.23,287.0,79.9,,6.13,4.75
Sylhet (10705),2022,5,31.13,23.32,902.0,82.39,,6.71,3.81
Sylhet (10705),2022,6,29.85,24.54,1485.0,89.87,,7.7,1.23
Sylhet (10705),2022,7,34.02,25.87,778.0,82.55,,6.45,5.19
Sylhet (10705),2022,8,34.3,26.2,461.0,80.58,,6.55,5.15
Sylhet (10705),2022,9,33.28,25.57,744.0,84.63,,6.63,4.22
Sylhet (10705),2022,10,32.11,23.47,334.0,82.29,,4.52,5.98
Sylhet (10705),2022,11,31.32,19.55,0.0,73.53,,1.47,8.08
Sylhet (10705),2022,12,27.34,16.57,8.0,76.68,,1.74,7.33
Tangail (41909),2012,1,23.8,12.22,10.0,79.87,0.94,2.42,5.41
Tangail (41909),2012,2,28.2,13.25,0.0,69.55,1.12,0.62,7.88
Tangail (41909),2012,3,33.06,19.03,2.0,65.39,1.27,0.65,8.26
Tangail (41909),2012,4,33.84,22.79,106.0,73.77,1.34,3.0,7.59
Tangail (41909),2012,5,35.2,24.68,171.0,75.94,1.25,3.35,7.69
Tangail (41909),2012,6,33.43,26.18,246.0,83.0,1.67,5.7,3.73
Tangail (41909),2012,7,32.68,26.27,241.0,84.71,1.43,6.42,4.5
Tangail (41909),2012,8,32.64,26.35,204.0,84.23,1.26,6.0,5.29
Tangail (41909),2012,9,32.71,26.01,319.0,85.37,1.11,5.4,4.19
Tangail (41909),2012,10,32.14,22.99,75.0,80.45,0.92,2.55,7.12
Tangail (41909),2012,11,28.4,17.44,94.0,79.53,0.98,2.17,6.8
Tangail (41909),2012,12,22.78,12.9,1.0,85.87,0.96,1.65,3.75
Tangail (41909),2013,1,23.79,9.87,0.0,79.06,0.94,0.52,5.1
Tangail (41909),2013,2,28.25,14.24,13.0,73.39,1.2,1.29,7.19
Tangail (41909),2013,3,32.96,19.46,3.0,67.58,1.12,1.42,7.81
Tangail (41909),2013,4,34.44,22.89,60.0,68.4,1.2,3.0,6.45
Tangail (41909),2013,5,32.0,24.11,293.0,81.94,1.33,5.94,3.69
Tangail (41909),2013,6,34.42,26.29,213.0,80.0,1.06,4.93,4.86
Tangail (41909),2013,7,33.34,26.42,106.0,81.55,1.25,5.74,4.82
Tangail (41909),2013,8,32.56,26.0,238.0,84.84,1.15,6.03,3.78
Tangail (41909),2013,9,33.24,25.84,126.0,83.17,0.94,5.27,4.57
Tangail (41909),2013,10,31.49,23.34,128.0,84.13,0.83,4.29,4.77
Tangail (41909),2013,11,30.31,16.06,0.0,77.4,0.66,0.57,8.43
Tangail (41909),2013,12,25.75,13.34,2.0,81.68,0.82,0.84,4.65
Tangail (41909),2014,1,23.44,11.34,0.0,83.77,0.93,1.35,4.81
Tangail (41909),2014,2,26.27,13.46,24.0,75.79,0.91,1.57,6.46
Tangail (41909),2014,3,32.18,17.99,24.0,65.55,1.11,1.29,8.42
Tangail (41909),2014,4,36.54,23.02,47.0,63.8,1.11,1.5,8.76
